Tipo;Tema;Variável;Descrição
Pessoas;Demografia;V01006;Quantidade de moradores
Pessoas;Demografia;V01007;Sexo masculino
Pessoas;Demografia;V01008;Sexo feminino
Pessoas;Demografia;V01009;Sexo masculino, 0 a 4 anos
Pessoas;Demografia;V01010;Sexo masculino, 5 a 9 anos
Pessoas;Demografia;V01011;Sexo masculino, 10 a 14 anos
Pessoas;Demografia;V01012;Sexo masculino, 15 a 19 anos
Pessoas;Demografia;V01013;Sexo masculino, 20 a 24 anos
Pessoas;Demografia;V01014;Sexo masculino, 25 a 29 anos
Pessoas;Demografia;V01015;Sexo masculino, 30 a 39 anos
Pessoas;Demografia;V01016;Sexo masculino, 40 a 49 anos
Pessoas;Demografia;V01017;Sexo masculino, 50 a 59 anos
Pessoas;Demografia;V01018;Sexo masculino, 60 a 69 anos
Pessoas;Demografia;V01019;Sexo masculino, 70 anos ou mais
Pessoas;Demografia;V01020;Sexo feminino, 0 a 4 anos
Pessoas;Demografia;V01021;Sexo feminino, 5 a 9 anos
Pessoas;Demografia;V01022;Sexo feminino, 10 a 14 anos
Pessoas;Demografia;V01023;Sexo feminino, 15 a 19 anos
Pessoas;Demografia;V01024;Sexo feminino, 20 a 24 anos
Pessoas;Demografia;V01025;Sexo feminino, 25 a 29 anos
Pessoas;Demografia;V01026;Sexo feminino, 30 a 39 anos
Pessoas;Demografia;V01027;Sexo feminino, 40 a 49 anos
Pessoas;Demografia;V01028;Sexo feminino, 50 a 59 anos
Pessoas;Demografia;V01029;Sexo feminino, 60 a 69 anos
Pessoas;Demografia;V01030;Sexo feminino, 70 anos ou mais